"name","Cena","Hodnota","Jednotka","Rok","Mzda"
Rajská jablka červená kulatá,37.854833333333325,1.0,kg,2012,26077.1184
Rajská jablka červená kulatá,37.102611111111095,1.0,kg,2013,25670.8421
Rajská jablka červená kulatá,41.16083333333333,1.0,kg,2014,26323.5526
Rajská jablka červená kulatá,42.76744444444443,1.0,kg,2015,26959.7237
Rajská jablka červená kulatá,40.57499999999995,1.0,kg,2016,27946.9211
Rajská jablka červená kulatá,44.70027777777773,1.0,kg,2017,29735.7763
Rajská jablka červená kulatá,44.48794444444441,1.0,kg,2018,31980.2632
Rostlinný roztíratelný tuk,69.45212000000006,1.0,kg,2006,20342.3816
Rostlinný roztíratelný tuk,69.50294444444448,1.0,kg,2007,21724.6053
Rostlinný roztíratelný tuk,84.39633333333356,1.0,kg,2008,23475.1711
Rostlinný roztíratelný tuk,84.40955555555556,1.0,kg,2009,24238.1711
Rostlinný roztíratelný tuk,80.42142424242428,1.0,kg,2010,24722.1974
Rostlinný roztíratelný tuk,88.72416666666665,1.0,kg,2011,25284.3816
Rostlinný roztíratelný tuk,90.0171666666667,1.0,kg,2012,26077.1184
Rostlinný roztíratelný tuk,93.30166666666668,1.0,kg,2013,25670.8421
Rostlinný roztíratelný tuk,93.04772222222222,1.0,kg,2014,26323.5526
Rostlinný roztíratelný tuk,91.5354444444444,1.0,kg,2015,26959.7237
Rostlinný roztíratelný tuk,91.4378333333333,1.0,kg,2016,27946.9211
Rostlinný roztíratelný tuk,94.2921111111111,1.0,kg,2017,29735.7763
Rostlinný roztíratelný tuk,99.39811111111113,1.0,kg,2018,31980.2632
Rýže loupaná dlouhozrnná,21.289666666666644,1.0,kg,2006,20342.3816
Rýže loupaná dlouhozrnná,23.85698611111109,1.0,kg,2007,21724.6053
Rýže loupaná dlouhozrnná,32.69052173913041,1.0,kg,2008,23475.1711
Rýže loupaná dlouhozrnná,36.102305555555546,1.0,kg,2009,24238.1711
Rýže loupaná dlouhozrnná,33.92663636363638,1.0,kg,2010,24722.1974
Rýže loupaná dlouhozrnná,33.33616666666665,1.0,kg,2011,25284.3816
Rýže loupaná dlouhozrnná,34.04394444444441,1.0,kg,2012,26077.1184
Rýže loupaná dlouhozrnná,34.72899999999998,1.0,kg,2013,25670.8421
Rýže loupaná dlouhozrnná,35.31477777777776,1.0,kg,2014,26323.5526
Rýže loupaná dlouhozrnná,35.93055555555556,1.0,kg,2015,26959.7237
Rýže loupaná dlouhozrnná,36.52455555555558,1.0,kg,2016,27946.9211
Rýže loupaná dlouhozrnná,36.30238888888884,1.0,kg,2017,29735.7763
Rýže loupaná dlouhozrnná,36.1752222222222,1.0,kg,2018,31980.2632
Šunkový salám,116.77441333333347,1.0,kg,2006,20342.3816
Šunkový salám,116.4391666666665,1.0,kg,2007,21724.6053
Šunkový salám,118.98110144927527,1.0,kg,2008,23475.1711
Šunkový salám,117.99141666666645,1.0,kg,2009,24238.1711
Šunkový salám,116.98393939393937,1.0,kg,2010,24722.1974
Šunkový salám,115.91222222222227,1.0,kg,2011,25284.3816
Šunkový salám,121.74583333333338,1.0,kg,2012,26077.1184
Šunkový salám,126.23861111111117,1.0,kg,2013,25670.8421
Šunkový salám,129.4287777777777,1.0,kg,2014,26323.5526
Šunkový salám,128.86172222222226,1.0,kg,2015,26959.7237
Šunkový salám,130.20549999999994,1.0,kg,2016,27946.9211
Šunkový salám,142.02900000000002,1.0,kg,2017,29735.7763
Šunkový salám,144.87633333333335,1.0,kg,2018,31980.2632
Těstoviny vaječné,26.095533333333407,1.0,kg,2006,20342.3816
Těstoviny vaječné,26.712416666666613,1.0,kg,2007,21724.6053
Těstoviny vaječné,30.760318840579718,1.0,kg,2008,23475.1711
Těstoviny vaječné,30.975583333333386,1.0,kg,2009,24238.1711
Těstoviny vaječné,31.93806060606059,1.0,kg,2010,24722.1974
Těstoviny vaječné,35.14344444444447,1.0,kg,2011,25284.3816
Těstoviny vaječné,37.54533333333331,1.0,kg,2012,26077.1184
Těstoviny vaječné,41.00488888888887,1.0,kg,2013,25670.8421
Těstoviny vaječné,42.540333333333336,1.0,kg,2014,26323.5526
Těstoviny vaječné,44.42344444444445,1.0,kg,2015,26959.7237
Těstoviny vaječné,44.82072222222224,1.0,kg,2016,27946.9211
Těstoviny vaječné,46.553888888888906,1.0,kg,2017,29735.7763
Těstoviny vaječné,47.87427777777777,1.0,kg,2018,31980.2632
Vejce slepičí čerstvá,23.494840000000007,10.0,ks,2006,20342.3816
Vejce slepičí čerstvá,24.970097222222197,10.0,ks,2007,21724.6053
Vejce slepičí čerstvá,28.124855072463728,10.0,ks,2008,23475.1711
Vejce slepičí čerstvá,26.02074999999998,10.0,ks,2009,24238.1711
Vejce slepičí čerstvá,25.146393939393953,10.0,ks,2010,24722.1974
Vejce slepičí čerstvá,23.210333333333338,10.0,ks,2011,25284.3816
Vejce slepičí čerstvá,35.921611111111126,10.0,ks,2012,26077.1184
Vejce slepičí čerstvá,30.48483333333333,10.0,ks,2013,25670.8421
Vejce slepičí čerstvá,30.927999999999983,10.0,ks,2014,26323.5526
Vejce slepičí čerstvá,31.145222222222223,10.0,ks,2015,26959.7237
Vejce slepičí čerstvá,28.651944444444457,10.0,ks,2016,27946.9211
Vejce slepičí čerstvá,36.33561111111109,10.0,ks,2017,29735.7763
Vejce slepičí čerstvá,38.390444444444434,10.0,ks,2018,31980.2632
Vepřová pečeně s kostí,105.17778666666693,1.0,kg,2006,20342.3816
Vepřová pečeně s kostí,102.89529166666689,1.0,kg,2007,21724.6053
Vepřová pečeně s kostí,106.4618550724638,1.0,kg,2008,23475.1711
Vepřová pečeně s kostí,106.48124999999996,1.0,kg,2009,24238.1711
Vepřová pečeně s kostí,100.48296969696965,1.0,kg,2010,24722.1974
Vepřová pečeně s kostí,100.04150000000001,1.0,kg,2011,25284.3816
Vepřová pečeně s kostí,109.41594444444446,1.0,kg,2012,26077.1184
Vepřová pečeně s kostí,115.87488888888882,1.0,kg,2013,25670.8421
Vepřová pečeně s kostí,116.37466666666676,1.0,kg,2014,26323.5526
Vepřová pečeně s kostí,108.66244444444442,1.0,kg,2015,26959.7237
Vepřová pečeně s kostí,109.46288888888895,1.0,kg,2016,27946.9211
Vepřová pečeně s kostí,118.27477777777783,1.0,kg,2017,29735.7763
Vepřová pečeně s kostí,116.85322222222223,1.0,kg,2018,31980.2632
